Type,Subject,Skill,Taught in year,Level (1-5),Item,Question or text,Choices,Correct answer,Explanation,Reviewer: OK? (Y/N),Reviewer: notes
Question (generated example),maths,Number Sense,1,1,number-sense:What number comes after 5?,What number comes after 5?,,6,"Counting up: 5, 6.",,
Question (generated example),maths,Number Sense,1,1,number-sense:What number comes after 2?,What number comes after 2?,,3,"Counting up: 2, 3.",,
Question (generated example),maths,Number Sense,1,1,number-sense:What number comes after 8?,What number comes after 8?,,9,"Counting up: 8, 9.",,
Question (generated example),maths,Number Sense,1,2,number-sense:What number comes after 19?,What number comes after 19?,,20,"Counting up: 19, 20.",,
Question (generated example),maths,Number Sense,1,2,number-sense:What number comes after 13?,What number comes after 13?,,14,"Counting up: 13, 14.",,
Question (generated example),maths,Number Sense,1,2,number-sense:What number comes after 17?,What number comes after 17?,,18,"Counting up: 17, 18.",,
Question (generated example),maths,Number Sense,1,3,number-sense:Which number is bigger?,Which number is bigger?,26 | 21,26,"26 is bigger. Compare the tens first, then the ones.",,
Question (generated example),maths,Number Sense,1,3,number-sense:Which number is bigger?,Which number is bigger?,51 | 67,67,"67 is bigger. Compare the tens first, then the ones.",,
Question (generated example),maths,Number Sense,1,3,number-sense:Which number is bigger?,Which number is bigger?,29 | 84,84,"84 is bigger. Compare the tens first, then the ones.",,
Question (generated example),maths,Number Sense,1,4,"number-sense:Count by 5s: 0, 5, 10, __","Count by 5s: 0, 5, 10, __",,15,Each number is 5 more than the one before: 10 + 5 = 15.,,
Question (generated example),maths,Number Sense,1,4,"number-sense:Count by 10s: 10, 20, 30, __","Count by 10s: 10, 20, 30, __",,40,Each number is 10 more than the one before: 30 + 10 = 40.,,
Question (generated example),maths,Number Sense,1,4,"number-sense:Count by 5s: 25, 30, 35, __","Count by 5s: 25, 30, 35, __",,40,Each number is 5 more than the one before: 35 + 5 = 40.,,
Question (generated example),maths,Number Sense,1,5,"number-sense:Count back by 3s: 23, 20, 17, __","Count back by 3s: 23, 20, 17, __",,14,Each number is 3 less than the one before: 17 − 3 = 14.,,
Question (generated example),maths,Number Sense,1,5,"number-sense:Count back by 6s: 54, 48, 42, __","Count back by 6s: 54, 48, 42, __",,36,Each number is 6 less than the one before: 42 − 6 = 36.,,
Question (generated example),maths,Number Sense,1,5,"number-sense:Count back by 6s: 55, 49, 43, __","Count back by 6s: 55, 49, 43, __",,37,Each number is 6 less than the one before: 43 − 6 = 37.,,
Question (generated example),maths,Addition,1,1,addition:7 + 3 = ?,7 + 3 = ?,,10,Start at 7 and count on 3: 10.,,
Question (generated example),maths,Addition,1,1,addition:1 + 8 = ?,1 + 8 = ?,,9,Start at 1 and count on 8: 9.,,
Question (generated example),maths,Addition,1,1,addition:2 + 1 = ?,2 + 1 = ?,,3,Start at 2 and count on 1: 3.,,
Question (generated example),maths,Addition,1,2,addition:4 + 9 = ?,4 + 9 = ?,,13,Start at 4 and count on 9: 13.,,
Question (generated example),maths,Addition,1,2,addition:2 + 9 = ?,2 + 9 = ?,,11,Start at 2 and count on 9: 11.,,
Question (generated example),maths,Addition,1,2,addition:4 + 8 = ?,4 + 8 = ?,,12,Start at 4 and count on 8: 12.,,
Question (generated example),maths,Addition,1,3,addition:63 + 24 = ?,63 + 24 = ?,,87,Add the ones first: 3 + 4 = 7. Then add the rest: 63 + 24 = 87.,,
Question (generated example),maths,Addition,1,3,addition:43 + 51 = ?,43 + 51 = ?,,94,Add the ones first: 3 + 1 = 4. Then add the rest: 43 + 51 = 94.,,
Question (generated example),maths,Addition,1,3,addition:34 + 22 = ?,34 + 22 = ?,,56,Add the ones first: 4 + 2 = 6. Then add the rest: 34 + 22 = 56.,,
Question (generated example),maths,Addition,1,4,addition:28 + 35 = ?,28 + 35 = ?,,63,"Add the ones first: 8 + 5 = 13. That makes 13, so write 3 and carry 1. Then add the rest: 28 + 35 = 63.",,
Question (generated example),maths,Addition,1,4,addition:18 + 52 = ?,18 + 52 = ?,,70,"Add the ones first: 8 + 2 = 10. That makes 10, so write 0 and carry 1. Then add the rest: 18 + 52 = 70.",,
Question (generated example),maths,Addition,1,4,addition:36 + 49 = ?,36 + 49 = ?,,85,"Add the ones first: 6 + 9 = 15. That makes 15, so write 5 and carry 1. Then add the rest: 36 + 49 = 85.",,
Question (generated example),maths,Addition,1,5,addition:856 + 115 = ?,856 + 115 = ?,,971,"Add the ones first: 6 + 5 = 11. That makes 11, so write 1 and carry 1. Then add the rest: 856 + 115 = 971.",,
Question (generated example),maths,Addition,1,5,addition:165 + 767 = ?,165 + 767 = ?,,932,"Add the ones first: 5 + 7 = 12. That makes 12, so write 2 and carry 1. Then add the rest: 165 + 767 = 932.",,
Question (generated example),maths,Addition,1,5,addition:729 + 110 = ?,729 + 110 = ?,,839,Add the ones first: 9 + 0 = 9. Then add the rest: 729 + 110 = 839.,,
Question (generated example),maths,Subtraction,2,1,subtraction:7 − 7 = ?,7 − 7 = ?,,0,Start at 7 and count back 7: 0. Check: 0 + 7 = 7.,,
Question (generated example),maths,Subtraction,2,1,subtraction:4 − 3 = ?,4 − 3 = ?,,1,Start at 4 and count back 3: 1. Check: 1 + 3 = 4.,,
Question (generated example),maths,Subtraction,2,1,subtraction:4 − 4 = ?,4 − 4 = ?,,0,Start at 4 and count back 4: 0. Check: 0 + 4 = 4.,,
Question (generated example),maths,Subtraction,2,2,subtraction:13 − 8 = ?,13 − 8 = ?,,5,Start at 13 and count back 8: 5. Check: 5 + 8 = 13.,,
Question (generated example),maths,Subtraction,2,2,subtraction:13 − 7 = ?,13 − 7 = ?,,6,Start at 13 and count back 7: 6. Check: 6 + 7 = 13.,,
Question (generated example),maths,Subtraction,2,2,subtraction:12 − 7 = ?,12 − 7 = ?,,5,Start at 12 and count back 7: 5. Check: 5 + 7 = 12.,,
Question (generated example),maths,Subtraction,2,3,subtraction:33 − 13 = ?,33 − 13 = ?,,20,33 − 13 = 20. Check by adding back: 20 + 13 = 33.,,
Question (generated example),maths,Subtraction,2,3,subtraction:78 − 68 = ?,78 − 68 = ?,,10,78 − 68 = 10. Check by adding back: 10 + 68 = 78.,,
Question (generated example),maths,Subtraction,2,3,subtraction:41 − 40 = ?,41 − 40 = ?,,1,41 − 40 = 1. Check by adding back: 1 + 40 = 41.,,
Question (generated example),maths,Subtraction,2,4,subtraction:62 − 35 = ?,62 − 35 = ?,,27,62 − 35 = 27. Check by adding back: 27 + 35 = 62.,,
Question (generated example),maths,Subtraction,2,4,subtraction:57 − 18 = ?,57 − 18 = ?,,39,57 − 18 = 39. Check by adding back: 39 + 18 = 57.,,
Question (generated example),maths,Subtraction,2,4,subtraction:97 − 69 = ?,97 − 69 = ?,,28,97 − 69 = 28. Check by adding back: 28 + 69 = 97.,,
Question (generated example),maths,Subtraction,2,5,subtraction:806 − 158 = ?,806 − 158 = ?,,648,806 − 158 = 648. Check by adding back: 648 + 158 = 806.,,
Question (generated example),maths,Subtraction,2,5,subtraction:626 − 200 = ?,626 − 200 = ?,,426,626 − 200 = 426. Check by adding back: 426 + 200 = 626.,,
Question (generated example),maths,Subtraction,2,5,subtraction:633 − 249 = ?,633 − 249 = ?,,384,633 − 249 = 384. Check by adding back: 384 + 249 = 633.,,
Question (generated example),maths,Place Value,2,1,place-value:What digit is in the tens place of 64?,What digit is in the tens place of 64?,,6,64 is 6 tens and 4 ones.,,
Question (generated example),maths,Place Value,2,1,place-value:What digit is in the tens place of 93?,What digit is in the tens place of 93?,,9,93 is 9 tens and 3 ones.,,
Question (generated example),maths,Place Value,2,1,place-value:What digit is in the tens place of 32?,What digit is in the tens place of 32?,,3,32 is 3 tens and 2 ones.,,
Question (generated example),maths,Place Value,2,2,place-value:What digit is in the hundreds place of 726?,What digit is in the hundreds place of 726?,,7,"726 is 7 hundreds, 2 tens and 6 ones.",,
Question (generated example),maths,Place Value,2,2,place-value:What digit is in the hundreds place of 308?,What digit is in the hundreds place of 308?,,3,"308 is 3 hundreds, 0 tens and 8 ones.",,
